timestamp,tracker_id,rider,plate,plate_conf,lap,lap_time,bbox,center
26.977,43,plate_3,3,0.558,1,26.977,"[740, 425, 1163, 694]","[951, 559]"
44.962,122,black,,0.0,1,44.962,"[721, 382, 1227, 712]","[974, 547]"
47.798,130,black,,0.0,2,2.836,"[693, 382, 1224, 719]","[958, 550]"
70.704,173,plate_38,38,0.813,1,70.704,"[794, 420, 1109, 617]","[951, 518]"
142.192,276,plate_24,24,0.836,1,142.192,"[652, 366, 1273, 772]","[962, 569]"
192.459,400,black,,0.0,3,144.661,"[818, 446, 1084, 618]","[951, 532]"
234.334,479,black,,0.0,4,41.875,"[723, 403, 1226, 716]","[974, 559]"
256.773,535,plate_38,38,0.87,2,186.069,"[792, 411, 1109, 616]","[950, 513]"
260.994,541,black,,0.0,5,26.66,"[720, 390, 1195, 700]","[957, 545]"
338.588,677,black,,0.0,6,77.594,"[774, 447, 1133, 705]","[953, 576]"
386.603,768,plate_121,121,0.606,1,386.603,"[766, 409, 1209, 688]","[987, 548]"
400.433,805,plate_38,38,0.888,3,143.66,"[804, 405, 1134, 613]","[969, 509]"
405.956,814,plate_3,3,0.302,2,378.979,"[800, 418, 1176, 678]","[988, 548]"
468.351,953,plate_38,38,0.859,4,67.918,"[720, 400, 1202, 708]","[961, 554]"
477.527,972,plate_3,3,0.402,3,71.572,"[796, 421, 1122, 654]","[959, 537]"
519.386,1035,plate_11,11,0.713,1,519.386,"[725, 383, 1266, 715]","[995, 549]"
554.154,1078,black,,0.0,7,215.565,"[776, 448, 1134, 703]","[955, 575]"
668.618,1323,black,,0.0,8,114.464,"[805, 418, 1120, 612]","[962, 515]"
671.955,1341,black,,0.0,9,3.337,"[688, 421, 1213, 727]","[950, 574]"
772.639,1537,black,,0.0,10,100.684,"[782, 449, 1130, 696]","[956, 572]"
790.907,1598,black,,0.0,11,18.268,"[694, 389, 1215, 726]","[954, 557]"
820.57,1721,plate_1,1,0.724,1,820.57,"[688, 389, 1255, 720]","[971, 554]"
836.469,1764,plate_2,2,0.425,1,836.469,"[748, 391, 1222, 699]","[985, 545]"
892.058,1939,black,,0.0,12,101.151,"[813, 406, 1151, 630]","[982, 518]"
900.5,1976,plate_3641,3641,0.48,1,900.5,"[714, 376, 1187, 693]","[950, 534]"
986.519,2216,black,,0.0,13,94.461,"[816, 441, 1159, 684]","[987, 562]"
990.373,2220,plate_11,11,0.827,2,470.987,"[703, 385, 1228, 721]","[965, 553]"
995.928,2231,plate_2,2,0.91,2,159.459,"[730, 390, 1214, 703]","[972, 546]"
1026.042,2311,plate_2,2,0.756,3,30.113,"[832, 412, 1149, 608]","[990, 510]"
1043.759,2396,plate_61,61,0.661,1,1043.759,"[727, 388, 1190, 698]","[958, 543]"
1048.814,2400,black,,0.0,14,62.296,"[735, 405, 1195, 703]","[965, 554]"
1154.02,2631,plate_2,2,0.378,4,127.978,"[707, 408, 1213, 719]","[960, 563]"
1168.0,2686,black,,0.0,15,119.186,"[811, 418, 1129, 614]","[970, 516]"
1193.409,2782,plate_1,1,0.49,2,372.839,"[815, 409, 1136, 614]","[975, 511]"
1195.928,2800,black,,0.0,16,27.928,"[775, 461, 1132, 701]","[953, 581]"
1250.099,2994,black,,0.0,17,54.171,"[733, 409, 1167, 690]","[950, 549]"
